id,mostrar_externos,nombre,descripcion_usuario_interno,descripcion_usuario_externo,url
1,true,Vehículo sustituto extendido,Obtén hasta 3 días adicionales de vehículo sustituto cuando finalice la asistencia  incluida en tu seguro.,Obtén un vehículo sustituto extendido cuando finalice la asistencia incluida en tu seguro.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/vehiculo_sustituto.jpg
2,false,Grúa por avería o accidentes,Solicita el traslado de tu vehículo por avería o accidente hacia el taller o destino autorizado, de acuerdo a la cobertura de tu asistencia.,Solicita el traslado de tu vehículo por avería o accidente hacia el taller o destino autorizado, de acuerdo a la cobertura de tu asistencia.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/grua.png
3,true,Peritaje,Solicita la inspección de un técnico especializado para evaluar el estado de tu vehículo y recibir un diagnóstico detallado.,Solicita la inspección de un técnico especializado para evaluar el estado de tu vehículo y recibir un diagnóstico detallado.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/peritaje.jpg
4,true,Inspección pre-viaje,Verifica el estado de frenos, luces, fluidos, batería y motor antes de viajar en uno de nuestros talleres aliados.,Verifica el estado de frenos, luces, fluidos, batería y motor antes de viajar en uno de nuestros talleres aliados.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/inspeccion-pre-viaje.jpg
5,false,Descuento pequeños accesorios,Obtén un 10% de descuento en pequeños accesorios para tu vehículo en nuestra red de talleres aliados durante la vigencia de tu plan.,Obtén un 10% de descuento en pequeños accesorios para tu vehículo en nuestra red de talleres aliados durante la vigencia de tu plan.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/descuento-accesorios.jpg
6,true,Teleorientación mecánica 24/7,Recibe orientación mecánica telefónica o virtual 24/7, para resolver incidentes con tu vehículo.,Recibe orientación mecánica telefónica o virtual 24/7, para resolver incidentes con tu vehículo.,https://d1ha9jo6jndprj.cloudfront.net/shared/img/asistencias/teleorientacion.jpg
